nume;artist;vizualizari;venituri;lansare;aparitie;durata;gen;tara;colab
Jonah;Kanye West;15535805;77.679,03 USD;29.08.2021;02.09.2021;3:15;HIP-HOP/RAP;SUA;Nu
God Breathed;Kanye West;15309684;76.548,42 USD;29.08.2021;02.09.2021;5:33;HIP-HOP/RAP;SUA;Nu
Ok Ok;Kanye West;14811311;74.056,56 USD;29.08.2021;02.09.2021;3:23;HIP-HOP/RAP;SUA;Nu
Butter;BTS;14565825;72.829,13 USD;21.05.2021;02.09.2021;2:44;K-POP;Korea de Sud;Nu
Save Your Tears (with Ariana Grande) (Remix);The Weeknd;14237777;71.188,89 USD;20.03.2020;02.09.2021;3:35;R&B/SOUL;Canada;Da
Butter (with Megan Thee Stallion);BTS;13960331;69.801,66 USD;27.08.2021;02.09.2021;2:44;K-POP;Korea de Sud;Da
Heaven and Hell;Kanye West;13876358;69.381,79 USD;29.08.2021;02.09.2021;2:25;HIP-HOP/RAP;SUA;Nu
Blinding Lights;The Weeknd;13820934;69.104,67 USD;29.11.2019;02.09.2021;3:21;R&B/SOUL;Canada;Nu
family ties (with Kendrick Lamar);Baby Keem;13819716;69.098,58 USD;27.08.2021;02.09.2021;4:12;HIP-HOP/RAP;SUA;Da
No Child Left Behind;Kanye West;13621927;68.109,64 USD;29.08.2021;02.09.2021;2:58;HIP-HOP/RAP;SUA;Nu
Paris;Ingratax;13505979;67.529,90 USD;09.07.2021;02.09.2021;2:35;LATIN;Mexic;Nu
deja vu;Olivia Rodrigo;13397107;66.985,54 USD;21.05.2021;02.09.2021;3:35;POP;SUA;Nu
Permission to Dance;BTS;13372442;66.862,21 USD;09.07.2021;02.09.2021;3:07;K-POP;Korea de Sud;Nu
Junya;Kanye West;13342949;66.714,75 USD;09.08.2021;02.09.2021;2:27;HIP-HOP/RAP;SUA;Nu
AM Remix;Nio Garcia;13082669;65.413,35 USD;24.06.2021;02.09.2021;4:21;LATIN URBAN;Puerto Rico;Nu
24;Kanye West;12955187;64.775,94 USD;29.08.2021;02.09.2021;3:17;HIP-HOP/RAP;SUA;Nu
In Da Getto;J Balvin;12933235;64.666,18 USD;02.07.2021;02.09.2021;2:10;LATIN URBAN;Columbia;Nu
Remote Control;Kanye West;12913533;64.567,67 USD;29.08.2021;02.09.2021;3:18;HIP-HOP/RAP;SUA;Nu
drivers license;Olivia Rodrigo;12878186;64.390,93 USD;08.01.2021;02.09.2021;4:02;POP;SUA;Nu
Volando - Remix;Mora;12598210;62.991,05 USD;08.07.2021;02.09.2021;4:33;LATIN;Puerto Rico;Nu
2055;Sleepy Hallow;12034127;60.170,64 USD;14.04.2021;02.09.2021;2:03;HIP-HOP/RAP;Jamaica;Nu
Cúrame;Rauw Alejandro;11797153;58.985,77 USD;25.06.2021;02.09.2021;2:44;LATIN URBAN;Puerto Rico;Nu
Pure Souls;Kanye West;11585806;57.929,03 USD;29.08.2021;02.09.2021;5:58;HIP-HOP/RAP;SUA;Nu
Get Into It (Yuh);Doja Cat;11294620;56.473,10 USD;25.06.2021;02.09.2021;2:18;POP;SUA;Nu
Donda;Kanye West;11098736;55.493,68 USD;29.08.2021;02.09.2021;2:08;HIP-HOP/RAP;SUA;Nu
Leave The Door Open;Bruno Mars;11085219;55.426,10 USD;05.03.2021;02.09.2021;4:02;R&B/SOUL;Puerto Rico;Nu
Sobrio;Maluma;11037322;55.186,61 USD;08.07.2021;02.09.2021;3:21;LATIN URBAN;Columbia;Nu
Entre Nosotros;Tiago PZK;10951000;54.755,00 USD;09.07.2021;02.09.2021;3:12;RHYTHM & BLUES;Argentina;Nu
Keep My Spirit Alive;Kanye West;10913129;54.565,65 USD;29.08.2021;02.09.2021;3:41;HIP-HOP/RAP;SUA;Nu
Jesus Lord;Kanye West;10900265;54.501,33 USD;29.08.2021;02.09.2021;8:58;HIP-HOP/RAP;SUA;Nu
happier;Olivia Rodrigo;10837112;54.185,56 USD;21.05.2021;02.09.2021;2:55;POP;SUA;Nu
Love Tonight - Edit;Shouse;10655348;53.276,74 USD;14.12.2017;02.09.2021;4:01;ELECTRONIC;Australia;Nu
Watermelon Sugar;Harry Styles;10454615;52.273,08 USD;13.12.2019;02.09.2021;2:53;POP;Marea Britanie;Nu
Ain't Shit;Doja Cat;10218950;51.094,75 USD;25.06.2021;02.09.2021;2:54;POP;SUA;Nu
911 - Remix;Sech;10170485;50.852,43 USD;09.07.2021;02.09.2021;3:28;LATIN URBAN;Panama;Nu
Don't Go Yet;Camila Cabello;10168472;50.842,36 USD;23.07.2021;02.09.2021;2:44;POP;Cuba;Nu
Miénteme;TINI;10119289;50.596,45 USD;01.05.2021;02.09.2021;2:45;LATIN URBAN;Argentina;Nu
Dákiti;Bad Bunny;10109481;50.547,41 USD;30.10.2020;02.09.2021;3:25;LATIN;Puerto Rico;Nu
Friday (with Mufasa & Hypeman) - Dopamine Re-Edit;Riton;10104000;50.520,00 USD;15.01.2021;02.09.2021;2:49;DANCE;Marea Britanie;Da
Summer of Love (Shawn Mendes & Tainy);Shawn Mendes;10086800;50.434,00 USD;20.08.2021;02.09.2021;3:04;POP;Canada;Nu
New Again;Kanye West;10030218;50.151,09 USD;29.08.2021;02.09.2021;3:03;HIP-HOP/RAP;SUA;Nu
Cold Heart - PNAU Remix;Elton John;9744131;48.720,66 USD;13.08.2021;02.09.2021;3:22;POP;Marea Britanie;Nu
Tiroteo - Remix;Marc Segui;9541764;47.708,82 USD;01.04.2021;02.09.2021;5:21;LATIN URBAN;Puerto Rico;Nu
jealousy, jealousy;Olivia Rodrigo;9497239;47.486,20 USD;21.05.2021;02.09.2021;2:53;POP;SUA;Nu
Dynamite;BTS;9489399;47.447,00 USD;20.09.2021;02.09.2021;2:21;K-POP;Korea de Sud;Nu
Astronaut In The Ocean;Masked Wolf;9374344;46.871,72 USD;30.08.2021;02.09.2021;4:03;POP;Australia;Nu
Pareja Del AÃ±o;Sebastian Yatra;9358037;46.790,19 USD;11.02.2021;02.09.2021;4:57;LATIN URBAN;Columbia;Nu
Mood (with iann dior);24kGoldn;9310325;46.551,63 USD;20.05.2021;02.09.2021;2:17;HIP-HOP/RAP;SUA;Da
Jail pt 2;Kanye West;9288349;46.441,75 USD;01.01.2021;02.09.2021;2:36;HIP-HOP/RAP;SUA;Nu
Freaks;Surf Curse;9221441;46.107,21 USD;02.02.2021;02.09.2021;3:23;POP;SUA;Nu
Lord I Need You;Kanye West;9221270;46.106,35 USD;03.03.2021;02.09.2021;3:18;RHYTHM & BLUES;SUA;Nu
Don't Be Shy;Tiësto;9164205;45.821,03 USD;04.05.2021;02.09.2021;3:23;R&B/SOUL;Olanda;Nu
I GUESS I'M IN LOVE;Clinton Kane;8949541;44.747,71 USD;05.06.2021;02.09.2021;2:44;HIP-HOP/RAP;Norvegia;Nu
Like I Can;Sam Smith;8898032;44.490,16 USD;21.03.2021;02.09.2021;4:12;POP;Marea Britanie;Nu
favorite crime;Olivia Rodrigo;8849812;44.249,06 USD;30.05.2021;02.09.2021;3:35;ALTERNATIVE;SUA;Nu
Donda Chant;Kanye West;8821108;44.105,54 USD;31.08.2021;02.09.2021;2:27;LATIN URBAN;SUA;Nu
Come to Life;Kanye West;8799808;43.999,04 USD;12.09.2021;02.09.2021;2:10;LATIN;SUA;Nu
Rumors (with Cardi B);Lizzo;8664176;43.320,88 USD;01.08.2021;02.09.2021;2:03;ROCK;SUA;Da
Sweater Weather;The Neighbourhood;8653162;43.265,81 USD;03.02.2021;02.09.2021;2:18;R&B/SOUL;SUA;Nu
Leave Before You Love Me (with Jonas Brothers);Marshmello;8647549;43.237,75 USD;27.09.2021;02.09.2021;4:02;ROCK;SUA;Da
Dark Red;Steve Lacy;8613553;43.067,77 USD;20.04.2021;02.09.2021;3:41;DANCE;SUA;Nu
The Business;Tiësto;8470336;42.351,68 USD;20.05.2021;02.09.2021;2:55;DANCE;Olanda;Nu
I am not a woman, I'm a god;Halsey;8420550;42.102,75 USD;21.09.2021;02.09.2021;2:53;DANCE;SUA;Nu
Someone You Loved;Lewis Capaldi;8373451;41.867,26 USD;30.06.2021;02.09.2021;3:28;HIP-HOP/RAP;Scoția;Nu
Don't Start Now;Dua Lipa;8309988;41.549,94 USD;21.02.2021;02.09.2021;2:49;K-POP;Marea Britanie;Nu
Love Again;Dua Lipa;8216633;41.083,17 USD;04.03.2021;02.09.2021;3:22;ELECTRONIC;Marea Britanie;Nu
Poblado - Remix;J Balvin;8164992;40.824,96 USD;30.04.2021;02.09.2021;2:53;ELECTRONIC;Columbia;Nu
Run;OneRepublic;8138053;40.690,27 USD;27.03.2021;02.09.2021;2:21;R&B/SOUL;SUA;Nu
Visiting Hours;Ed Sheeran;8102174;40.510,87 USD;27.02.2021;02.09.2021;3:32;POP;Marea Britanie;Nu
"Raataan Lambiyan (From ""Shershaah"")";Tanishk Bagchi;8066320;40.331,60 USD;22.04.2021;02.09.2021;3:32;HIP-HOP/RAP;India;Nu
double take;dhruv;7991231;39.956,16 USD;29.07.2021;02.09.2021;3:31;LATIN;India;Nu
Save Your Tears;The Weeknd;7943160;39.715,80 USD;13.01.2021;02.09.2021;4:03;ELECTRONIC;Canada;Nu
Loco;Justin Quiles;7942778;39.713,89 USD;23.04.2021;02.09.2021;4:47;K-POP;SUA;Nu
Tell The Vision;Kanye West;7880253;39.401,27 USD;01.03.2021;02.09.2021;2:58;ROCK;SUA;Nu
Chega E Senta - Ao Vivo;John Amplificado;7666991;38.334,96 USD;21.04.2021;02.09.2021;3:30;R&B/SOUL;Brazilia;Nu
RAPSTAR;Polo G;7655152;38.275,76 USD;18.02.2021;02.09.2021;2:25;RHYTHM & BLUES;SUA;Nu
Donâ€™t Go (with Justin Bieber & Don Toliver);Skrillex;7641025;38.205,13 USD;19.08.2021;02.09.2021;4:57;ALTERNATIVE;SUA;Da
Chosen (with Ty Dolla $ign);Blxst;7601207;38.006,04 USD;12.07.2021;02.09.2021;4:58;ALTERNATIVE;SUA;Da
Heartbreak Anthem (with David Guetta & Little Mix);Galantis;7551849;37.759,25 USD;24.05.2021;02.09.2021;5:39;LATIN URBAN;Suedia;Da
Heartbreak Anniversary;Giveon;7454420;37.272,10 USD;07.09.2021;02.09.2021;2:17;ALTERNATIVE;SUA;Nu
Ok Ok pt 2;Kanye West;7405936;37.029,68 USD;10.06.2021;02.09.2021;3:28;POP;SUA;Nu
Meu PedaÃ§o de Pecado;João Gomes;7403450;37.017,25 USD;13.09.2021;02.09.2021;3:19;HIP-HOP/RAP;Brazilia;Nu
"Ranjha (From ""Shershaah"")";Jasleen Royal;7346918;36.734,59 USD;13.06.2021;02.09.2021;3:46;POP;India;Nu
Motley Crew;Post Malone;7311942;36.559,71 USD;12.01.2021;02.09.2021;3:58;ROCK;SUA;Nu
Believer;Imagine Dragons;7163894;35.819,47 USD;23.06.2021;02.09.2021;3:50;HIP-HOP/RAP;SUA;Nu
You Right;Doja Cat;7105986;35.529,93 USD;07.03.2021;02.09.2021;2:36;LATIN URBAN;SUA;Nu
Circles;Post Malone;7085474;35.427,37 USD;18.02.2021;02.09.2021;3:26;POP;SUA;Nu
brutal;Olivia Rodrigo;7045689;35.228,45 USD;31.05.2021;02.09.2021;2:53;HIP-HOP/RAP;SUA;Nu
Dance Monkey;Tones And I;7034700;35.173,50 USD;31.07.2021;02.09.2021;3:40;HIP-HOP/RAP;Australia;Nu
positions;Ariana Grande;6995145;34.975,73 USD;21.04.2021;02.09.2021;3:37;POP;SUA;Nu
Beautiful Mistakes (with Megan Thee Stallion);Maroon 5;6982261;34.911,31 USD;25.05.2021;02.09.2021;3:23;HIP-HOP/RAP;SUA;Da
Arcade;Duncan Laurence;6934161;34.670,81 USD;17.04.2021;02.09.2021;3:49;HIP-HOP/RAP;Olanda;Nu
lovely (with Khalid);Billie Eilish;6914663;34.573,32 USD;08.07.2021;02.09.2021;4:02;LATIN URBAN;SUA;Da
Sharing Locations (with Lil Baby & Lil Durk);Meek Mill;6894638;34.473,19 USD;19.08.2021;02.09.2021;3:18;K-POP;SUA;Da
Before You Go;Lewis Capaldi;6886210;34.431,05 USD;30.01.2021;02.09.2021;3:15;HIP-HOP/RAP;Scoția;Nu
telepatÃ­a;Kali Uchis;6845694;34.228,47 USD;31.01.2021;02.09.2021;5:33;HIP-HOP/RAP;SUA;Nu
Levitating;Dua Lipa;6790759;33.953,80 USD;29.04.2021;02.09.2021;3:23;LATIN URBAN;Marea Britanie;Nu
WITHOUT YOU;The Kid LAROI;6753205;33.766,03 USD;16.02.2021;02.09.2021;2:44;LATIN URBAN;Australia;Da
Fiel - Remix;Wisin;6661269;33.306,35 USD;18.04.2021;02.09.2021;3:35;HIP-HOP/RAP;Puerto Rico;Nu
Junya pt 2;Kanye West;6621001;33.105,01 USD;20.03.2021;02.09.2021;2:44;LATIN URBAN;SUA;Nu
A-O-K;Tai Verdes;6574515;32.872,58 USD;04.08.2021;02.09.2021;2:25;HIP-HOP/RAP;SUA;Nu
Perfect;Ed Sheeran;6548141;32.740,71 USD;13.02.2021;02.09.2021;3:21;POP;Marea Britanie;Nu
2/Catorce;Rauw Alejandro;6547678;32.738,39 USD;15.09.2021;02.09.2021;4:12;DANCE;Puerto Rico;Nu
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;6545416;32.727,08 USD;25.09.2021;02.09.2021;2:58;LATIN URBAN;SUA;Nu
Shape of You;Ed Sheeran;6506168;32.530,84 USD;23.04.2021;02.09.2021;2:35;LATIN URBAN;Marea Britanie;Nu
Smells Like Teen Spirit;Nirvana;6496714;32.483,57 USD;13.05.2021;02.09.2021;3:35;RHYTHM & BLUES;SUA;Nu
EL MAKINON;KAROL G;6495643;32.478,22 USD;23.06.2021;02.09.2021;3:07;POP;Columbia;Nu
Head & Heart (with MNEK);Joel Corry;6469004;32.345,02 USD;14.07.2021;02.09.2021;2:27;LATIN URBAN;Marea Britanie;Da
OUT OUT (with Charli XCX & Saweetie);Joel Corry;6413378;32.066,89 USD;23.06.2021;02.09.2021;4:21;ROCK;Marea Britanie;Da
Thot Shit;Megan Thee Stallion;6350650;31.753,25 USD;21.02.2020;02.09.2021;3:17;ROCK;SUA;Nu
edamame (with Rich Brian);bbno$;6326405;31.632,03 USD;24.04.2020;02.09.2021;2:10;R&B/SOUL;Canada;Da
RolÃª;TarcÃ­sio do Acordeon;6298038;31.490,19 USD;23.06.2017;02.09.2021;3:18;RHYTHM & BLUES;Brazilia;Nu
Botella Tras Botella;Gera MX;6276595;31.382,98 USD;23.05.2021;02.09.2021;4:02;HIP-HOP/RAP;Mexic;Nu
ALMAS GEMELAS;Myke Towers;6233421;31.167,11 USD;04.05.2021;02.09.2021;4:33;POP;Puerto Rico;Nu
Build a Bitch;Bella Poarch;6231650;31.158,25 USD;09.08.2021;02.09.2021;2:03;ROCK;Filipine;Nu
Your Love (9PM);ATB;6157058;30.785,29 USD;18.01.2021;02.09.2021;2:44;HIP-HOP/RAP;Germania;Nu
Here's Your Perfect;Jamie Miller;6153223;30.766,12 USD;23.05.2021;02.09.2021;5:58;ROCK;Țara Galilor;Nu
Rasputin;Majestic;6121532;30.607,66 USD;31.08.2021;02.09.2021;2:18;HIP-HOP/RAP;Marea Britanie;Nu
Quer Voar;Matue;6120237;30.601,19 USD;31.03.2021;02.09.2021;2:08;HIP-HOP/RAP;Brazilia;Nu
Heather;Conan Gray;6114059;30.570,30 USD;05.05.2021;02.09.2021;4:02;HIP-HOP/RAP;SUA;Nu
Wow Wow (with Becky G);Maria Becerra;6105892;30.529,46 USD;06.07.2021;02.09.2021;3:21;HIP-HOP/RAP;Argentina;Da
Lemonade (with Gunna, Don Toliver & NAV);Internet Money;6082394;30.411,97 USD;23.04.2021;02.09.2021;3:12;LATIN;SUA;Da
Talking to the Moon;Bruno Mars;6074364;30.371,82 USD;04.06.2021;02.09.2021;3:41;POP;SUA;Nu
SeÃ±orita;Shawn Mendes;6005385;30.026,93 USD;09.04.2021;02.09.2021;8:58;K-POP;Canada;Nu
Goosebumps - Remix;Travis Scott;6004042;30.020,21 USD;05.08.2021;02.09.2021;2:55;HIP-HOP/RAP;SUA;Nu
VocÃª Beberia Ou NÃ£o Beberia?;ZÃ© Neto & Cristiano;6003966;30.019,83 USD;04.08.2021;02.09.2021;4:01;POP;Puerto Rico;Nu
you broke me first;Tate McRae;5998403;29.992,02 USD;05.08.2021;02.09.2021;2:53;LATIN;Canada;Nu
Daddy Issues;The Neighbourhood;5993917;29.969,59 USD;03.02.2021;02.09.2021;2:54;HIP-HOP/RAP;SUA;Nu
Wants and Needs (with Lil Baby);Drake;5972305;29.861,53 USD;04.07.2021;02.09.2021;3:28;HIP-HOP/RAP;Canada;Da
Jesus Lord pt 2;Kanye West;5958383;29.791,92 USD;02.09.2021;02.09.2021;2:44;POP;SUA;Nu
MORENA;Luan Santana;5951649;29.758,25 USD;04.06.2021;02.09.2021;2:45;HIP-HOP/RAP;Brazilia;Nu
Belly, The Weeknd - Die For It (ft. Nas);Belly;5924965;29.624,83 USD;03.05.2021;02.09.2021;3:25;HIP-HOP/RAP;SUA;Nu
ArranhÃ£o - Ao Vivo;Henrique & Juliano;5894508;29.472,54 USD;17.02.2021;02.09.2021;2:49;LATIN URBAN;Brazilia;Nu
Bilmem Mi?;Sefo;5882287;29.411,44 USD;31.01.2021;02.09.2021;3:04;K-POP;Turcia;Nu
Another Love;Tom Odell;5878089;29.390,45 USD;30.03.2021;02.09.2021;3:03;HIP-HOP/RAP;Marea Britanie;Nu
Bohemian Rhapsody - Remastered 2011;Queen;5872293;29.361,47 USD;15.06.2021;02.09.2021;3:22;HIP-HOP/RAP;Marea Britanie;Nu
The Nights;Avicii;5851282;29.256,41 USD;21.05.2021;02.09.2021;5:21;LATIN URBAN;Suedia;Nu
Riptide;Vance Joy;5838830;29.194,15 USD;17.02.2021;02.09.2021;2:53;LATIN URBAN;Australia;Nu
Roses - Imanbek Remix;SAINt JHN;5829947;29.149,74 USD;03.06.2021;02.09.2021;3:28;HIP-HOP/RAP;SUA;Nu
Loverboy;A-Wall;5822755;29.113,78 USD;06.08.2021;02.09.2021;2:53;LATIN URBAN;Australia;Nu
Thunderous;Stray Kids;5812990;29.064,95 USD;13.02.2021;02.09.2021;3:18;HIP-HOP/RAP;Korea de Sud;Nu
Memories;Maroon 5;5809131;29.045,66 USD;12.07.2021;02.09.2021;3:23;POP;SUA;Nu
goosebumps;Travis Scott;5797515;28.987,58 USD;20.05.2021;02.09.2021;2:21;DANCE;SUA;Nu
Fiel;Los Legendarios;5764745;28.823,73 USD;11.02.2021;02.09.2021;3:32;LATIN URBAN;Puerto Rico;Nu
Ficha Limpa;Gusttavo Lima;5762698;28.813,49 USD;30.05.2021;02.09.2021;3:32;LATIN URBAN;Brazilia;Nu
Hold On;Justin Bieber;5738552;28.692,76 USD;15.02.2021;02.09.2021;3:31;RHYTHM & BLUES;Canada;Nu
Take Me To Church;Hozier;5721405;28.607,03 USD;30.07.2021;02.09.2021;4:03;POP;Irlanda;Nu
Shallow;Lady Gaga;5690198;28.450,99 USD;29.08.2021;02.09.2021;4:47;LATIN URBAN;SUA;Nu
Counting Stars;OneRepublic;5663659;28.318,30 USD;17.09.2021;02.09.2021;2:58;ROCK;SUA;Nu
Pain;PinkPantheress;5643695;28.218,48 USD;09.04.2021;02.09.2021;3:30;ROCK;Marea Britanie;Nu
7 rings;Ariana Grande;5635533;28.177,67 USD;22.05.2021;02.09.2021;2:25;R&B/SOUL;SUA;Nu
Yellow;Coldplay;5610966;28.054,83 USD;29.08.2021;02.09.2021;4:57;RHYTHM & BLUES;Marea Britanie;Nu
999 (with Camilo);Selena Gomez;5599395;27.996,98 USD;07.08.2020;02.09.2021;4:58;HIP-HOP/RAP;SUA;Da
Iko Iko (My Bestie);Justin Wellington;5593786;27.968,93 USD;03.08.2021;02.09.2021;5:39;POP;Papua;Nu
512;Mora;5574638;27.873,19 USD;29.08.2021;02.09.2021;2:17;ROCK;Puerto Rico;Nu
Remember (and David Guetta);Becky Hill;5557982;27.789,91 USD;04.06.2021;02.09.2021;3:28;HIP-HOP/RAP;Marea Britanie;Nu
REPEAT IT (with Gunna);Lil Tecca;5547450;27.737,25 USD;19.03.2021;02.09.2021;3:19;ROCK;SUA;Da
Say You Won't Let Go;James Arthur;5547420;27.737,10 USD;21.09.2021;02.09.2021;3:46;HIP-HOP/RAP;Marea Britanie;Nu
Every Breath You Take;The Police;5520749;27.603,75 USD;30.06.2021;02.09.2021;3:58;HIP-HOP/RAP;Marea Britanie;Nu
HawÃ¡i;Maluma;5502543;27.512,72 USD;21.02.2021;02.09.2021;3:50;HIP-HOP/RAP;Columbia;Nu
Dreams - 2004 Remaster;Fleetwood Mac;5477944;27.389,72 USD;04.03.2021;02.09.2021;2:36;HIP-HOP/RAP;Marea Britanie;Nu
Dandelions;Ruth B.;5468079;27.340,40 USD;30.04.2021;02.09.2021;3:26;LATIN;Canada;Nu
Streets;Doja Cat;5460982;27.304,91 USD;27.03.2021;02.09.2021;2:53;POP;SUA;Nu
Gangsta's Paradise;Coolio;5459053;27.295,27 USD;27.02.2021;02.09.2021;3:40;K-POP;SUA;Nu
Fulanito;Becky G;5452012;27.260,06 USD;22.04.2021;02.09.2021;3:37;HIP-HOP/RAP;SUA;Nu
Just for me;PinkPantheress;5430793;27.153,97 USD;29.07.2021;02.09.2021;3:23;POP;Marea Britanie;Nu
Never Going Home;Kungs;5415878;27.079,39 USD;13.01.2021;02.09.2021;3:49;LATIN;Franța;Nu
Jocelyn Flores;XXXTENTACION;5408080;27.040,40 USD;23.04.2021;02.09.2021;4:02;HIP-HOP/RAP;SUA;Nu
Wake Me Up;Avicii;5406193;27.030,97 USD;01.03.2021;02.09.2021;3:18;HIP-HOP/RAP;Suedia;Nu
LA NOCHE DE ANOCHE;Bad Bunny;5389195;26.945,98 USD;21.04.2021;02.09.2021;3:15;POP;Puerto Rico;Nu
ROCKSTAR (with Roddy Ricch);DaBaby;5388870;26.944,35 USD;22.03.2021;02.09.2021;5:33;HIP-HOP/RAP;SUA;Da
Miss The Rage (with Playboi Carti);Trippie Redd;5385078;26.925,39 USD;24.06.2021;02.09.2021;3:23;HIP-HOP/RAP;SUA;Da
bad guy;Billie Eilish;5363281;26.816,41 USD;18.02.2021;02.09.2021;2:44;LATIN URBAN;SUA;Nu
STAY (with Justin Bieber);The Kid LAROI;61385396; 306.926,98  USD ;09.07.2021;09.09.2021;2:21;POP;Australia;Da
INDUSTRY BABY (with Jack Harlow);Lil Nas X;53085371; 265.426,86  USD ;23.07.2021;09.09.2021;3:32;HIP-HOP/RAP;SUA;Da
THATS WHAT I WANT;Lil Nas X;32546474; 162.732,37  USD ;30.04.2021;09.09.2021;4:21;POP;SUA;Nu
Heat Waves;Glass Animals;31103477; 155.517,39  USD ;07.08.2020;09.09.2021;3:58;POP;Marea Britanie;Nu
Bad Habits;Ed Sheeran;30276896; 151.384,48  USD ;11.06.2021;09.09.2021;3:32;POP;Marea Britanie;Nu
Pepas;Farruko;30119703; 150.598,52  USD ;08.12.2021;09.09.2021;4:47;LATIN URBAN;Puerto Rico;Nu
Woman;Doja Cat;29648304; 148.241,52  USD ;27.06.2021;09.09.2021;2:25;POP;SUA;Nu
MONTERO (Call Me By Your Name);Lil Nas X;28933084; 144.665,42  USD ;17.09.2021;09.09.2021;2:17;POP;SUA;Nu
Shivers;Ed Sheeran;27138539; 135.692,70  USD ;29.04.2021;09.09.2021;2:32;POP;Marea Britanie;Nu
Beggin';Måneskin;26309445; 131.547,23  USD ;08.12.2017;09.09.2021;3:31;ROCK;Italia;Nu
good 4 u;Olivia Rodrigo;24943366; 124.716,83  USD ;21.05.2021;09.09.2021;2:58;POP;SUA;Nu
Way 2 Sexy (with Future & Young Thug);Drake;23088866; 115.444,33  USD ;21.09.2021;09.09.2021;1:20;HIP-HOP/RAP;Canada;Da
Need To Know;Doja Cat;22506534; 112.532,67  USD ;24.06.2021;09.09.2021;3:30;POP;SUA;Nu
Fair Trade (with Travis Scott);Drake;20658947; 103.294,74  USD ;21.09.2021;09.09.2021;3:23;hIP-HOP/RAP;Canada;Da
Kiss Me More (with SZA);Doja Cat;19826752; 99.133,76  USD ;09.04.2021;09.09.2021;3:28;POP;SUA;Da
